Category,Priority,Title,Description,File(s) Affected
Bug Fix,Critical,event.preventDefault is a no-op,"Line 66 in main.js: `event.preventDefault` is missing parentheses — should be `event.preventDefault()`. Currently does nothing.",main.js
Bug Fix,Critical,User agent setting case mismatch,"startup.js line 12 uses `settings.userAgent` but settings.js defines it as `settings.useragent` (lowercase). The user agent never actually gets applied.",app/lib/js/startup.js
Bug Fix,Critical,Stray backtick causing syntax issues,"Line 164 of app.js has a stray double-backtick (`` ` ``) that could cause runtime errors or silent failures.",app/lib/js/app.js
Bug Fix,High,custombg.js uses wrong CSS property casing,"Uses `style.zindex` instead of `style.zIndex` (camelCase). The z-index is never applied so the custom background layering may break.",plugins/custombg.js
Bug Fix,High,LSDB dbResolve double-prefixes the key,"dbResolve calls `dbGetItem(LSDBPrefix + key)` and `dbSetItem(LSDBPrefix + key)` which double-applies the prefix since dbGetItem/dbSetItem already prepend LSDBPrefix.",app/lib/js/LSDB.js
Bug Fix,Medium,Theme sync index mismatch for glassmorphism,"syncsettingsui in ui.js maps 'darkcloud' to themeitemsdiv[1] but selecttheme maps index 1 to 'glassmorphism'. The active highlight doesn't match the selected theme.",app/lib/js/ui.js
Bug Fix,Medium,Last.fm credential injection vulnerability,"saveLastFmCredentials uses string interpolation to inject API key/secret directly into executeJavaScript. Special characters in input could break or exploit this.",app/lib/js/app.js
Bug Fix,Low,HTML typo: Prefrences,"'Prefrences' is misspelled throughout index.html and sidebar — should be 'Preferences'.",app/index.html
Bug Fix,Low,readfile status text typo,"Line 401 of app.js says 'Readed File' — should be 'Read File'.",app/lib/js/app.js
Bug Fix,Low,Unclosed HTML tags in loading screen,"Line 523 of index.html has `<h5>...<p>` — an unclosed `<h5>` and a `<p>` used incorrectly inside it.",app/index.html
Security,Critical,contextIsolation is disabled,"contextIsolation: false with nodeIntegration: true exposes the full Node.js API to the renderer and any webview content. This is a major security risk.",main.js
Security,Critical,preload.js is empty and unused,"The preload script is empty. It should be used with contextBridge to safely expose only needed APIs to the renderer instead of disabling contextIsolation.",preload.js
Security,High,updateCheck.js loaded from CDN at runtime,"index.html loads updateCheck.js from jsdelivr CDN. If the CDN or repo is compromised this script has full Node.js access. Should be bundled locally.",app/index.html
Security,High,Custom JS editor executes arbitrary code,"User-provided JS from the custom editor is stored in localStorage and executed via webview.executeJavaScript with no sandboxing or validation.",app/lib/js/startup.js
Security,Medium,webviewTag is deprecated,"The <webview> tag is deprecated in Electron. Consider migrating to BrowserView or webContents for better security and maintenance.",main.js
Optimization,High,Replace console.log IPC with proper IPC channels,"Communication between webview and renderer uses console.log messages parsed with string splitting. This is fragile and noisy. Use ipcRenderer/ipcMain or MessageChannel instead.",plugins/infoticker.js; app/lib/js/app.js
Optimization,High,Reduce infoticker polling frequency and logging,"infoticker.js fires every 1s and emits ~8 console.log messages per tick. This floods the console and wastes CPU. Use MutationObserver or reduce frequency.",plugins/infoticker.js
Optimization,Medium,Debounce settings persistence,"Every settings change immediately calls updateLS() which writes all settings to localStorage. Should debounce to batch rapid changes.",app/lib/js/settings.js
Optimization,Medium,Lazy-load Ace editor scripts,"Ace editor JS is loaded from CDN on every app launch via index.html even when the user never opens the CSS/JS editor. Load it on demand.",app/index.html
Optimization,Medium,Cache lyrics API responses,"Lyrics are re-fetched from LRCLIB every time a song showcase opens or a song changes. Cache results in memory or localStorage to avoid redundant network calls.",app/lib/js/app.js
Optimization,Medium,Adblocker initialized on every dom-ready,"ElectronBlocker.fromPrebuiltAdsAndTracking is called on every dom-ready event. Should initialize once on app-ready and reuse the blocker instance.",main.js
Optimization,Low,Replace theme switch/case with a lookup map,"The theme loading in startup.js and syncsettingsui in ui.js both use verbose switch statements. A simple object map would be cleaner and easier to extend.",app/lib/js/startup.js; app/lib/js/ui.js
